"Date","NSW","VIC","QLD","SA","WA","TAS","NT","ACT"
"02/12","271","1,419","3","18","0","0","1","8"
"03/12","337","1,188","6","4","1","0","2","4"
"04/12","325","1,365","7","5","0","0","0","7"
"05/12","286","980","6","6","0","0","0","6"
"06/12","208","1,073","3","4","0","0","3","6"
"07/12","260","1,185","1","4","0","0","0","3"
"08/12","403","1,312","2","3","0","0","2","8"
"09/12","420","1,232","0","7","1","0","3","4"
"10/12","516","1,206","9","8","0","0","4","6"
"11/12","560","1,193","1","7","0","0","1","11"
"12/12","485","1,069","1","10","0","0","3","1"
"13/12","536","1,290","10","13","1","0","17","3"
"14/12","804","1,189","4","12","1","0","2","4"
"15/12","1,360","1,405","6","25","0","0","11","7"
"16/12","1,742","1,622","22","24","0","1","1","11"
"17/12","2,213","1,510","20","64","0","2","8","20"
"18/12","2,482","1,504","31","73","0","1","1","18"
"19/12","2,566","1,240","42","80","0","3","9","18"
"20/12","2,501","1,302","59","105","0","3","3","13"
"21/12","3,057","1,245","86","154","1","4","14","16"
"22/12","3,763","1,503","186","198","4","12","5","58"
"23/12","5,715","2,005","369","484","1","26","10","85"
"24/12","5,612","2,095","589","688","2","27","10","102"
"25/12","6,288","2,108","765","634","7","33","19","142"
"26/12","6,394","1,608","714","774","2","56","12","71"
"27/12","6,324","1,999","784","842","1","39","12","189"
"28/12","6,062","2,738","1,158","995","3","44","16","252"
"29/12","11,201","3,767","1,539","1,471","2","58","19","138"
"30/12","12,226","5,137","2,222","1,374","1","103","37","253"
"31/12","21,151","5,919","3,118","2,093","5","137","60","462"
"01/01","22,577","7,442","2,266","2,100","3","439","50","448"
"02/01","18,278","7,172","3,587","2,298","7","404","95","506"
"03/01","20,794","8,577","4,249","2,552","8","472","58","514"
